icao,iata,name,city,subd,country,lat,lon,lid
NULL,,Bruce's Airport,Milwaukie,US-OR,US,45.42179870605469,-122.62000274658203,07OR
07PN,,Folmar Airport,Grassflat,Pennsylvania,US,40.99889,-78.12528,07PN
07TA,,Salaika Aviation Airport,Danbury,Texas,US,29.24052,-95.34466,07TA
NULL,,Cuddihy Field,Corpus Christi,US-TX,US,27.721099853515625,-97.51280212402344,07TE
07TS,,Cross Country Estates Marshall Field,Georgetown,Texas,US,30.625,-97.57278,07TS
07UT,,E Northrop Grumman Airport,Howell,Utah,US,41.71667,-112.44722,07UT
07VA,,Alpha Hotel Airport,Clover,Virginia,US,36.81958,-78.78306,07VA
07VT,,Meadow Airport,Jericho,Vermont,US,44.44722,-72.91472,07VT
NULL,,Stallions Airport,Sheridan,US-WY,US,44.960084,-106.105925,07WY
K07Y,,Hill City/Quadna Mountain Airport,Hill City,Minnesota,US,46.95589,-93.59744,07Y
08AK,,Fisher Airport,Big Lake,Alaska,US,61.56964,-149.72444,08AK
NULL,,Base Camp Airstrip,"Palmer,",US-AK,US,61.704295,-149.212506,08AN
K08B,,Merrymeeting Field,Bowdoinham,Maine,US,44.0,-69.88714,08B
08CL,,Kistler Ranch Airport,Jamestown,California,US,37.85965,-120.55437,08CL
08CO,,Terra Firma Airport,Rush,Colorado,US,38.73247,-104.04133,08CO
K08F,,City Of Coalgate Airport,Coalgate,Oklahoma,US,34.53176,-96.23305,08F
08FA,,Duda Airstrip,La Belle,Florida,US,26.57979,-81.48369,08FA
08FD,,Sunniland Ranch Airport,Okeechobee,Florida,US,27.3631,-80.7726,08FD
08FL,,J H Hendrie Farms Airport,Lake Placid,Florida,US,27.0845,-81.32868,08FL
08GA,,Sapelo Island Airport,Darien,Georgia,US,31.42578,-81.28593,08GA
08ID,,Symms Airport,Marsing,Idaho,US,43.56933,-116.7768,08ID
NULL,,Hemmer RLA Restricted Landing Area,Du Quoin,US-IL,US,37.977798461899994,-89.20290374759999,08IS
08KS,,Alderson Airport,Bennington,Kansas,US,39.03439,-97.58,08KS
08KY,,Boss Airport,Burnside,Kentucky,US,36.97309,-84.62604,08KY
08LL,,Sauer Airport,Dwight,Illinois,US,41.07528,-88.48917,08LL
08LS,,Aeleron Airport,Grand Coteau,Louisiana,US,30.40925,-92.03317,08LS
NULL,,Wormid Airport,Southborough,US-MA,US,42.29399871826172,-71.49620056152344,08MA
08ME,,Lindbergh Airport,Avon,Maine,US,44.81422,-70.34534,08ME
08MO,,Twin Oaks Airport,Jasper,Missouri,US,37.39561,-94.28384,08MO
08MS,,Midsouth Airpark,Coldwater,Mississippi,US,34.66222,-89.86833,08MS
08MT,,Matovich Airport,Grass Range,Montana,US,47.06386,-108.81737,08MT
K08N,,Keller Brothers Airport,Lebanon,Pennsylvania,US,40.29155,-76.32875,08N
08NC,,Whiteheart Farm Airport,Lewisville,North Carolina,US,36.06764,-80.46561,08NC
08ND,,Brecht Strip,Golden Valley,North Dakota,US,47.32306,-102.09767,08ND
NULL,,Laurel Municipal Airport,Laurel,US-NE,US,42.43170166015625,-97.07949829101562,08NE
08NR,,Bell Mountain Airport,Zirconia,North Carolina,US,35.21778,-82.42611,08NR
08NY,,Md1 Airport,Middletown,New York,US,41.36726,-74.51893,08NY
08OH,,Kenley Airport,Hartford,Ohio,US,41.29172,-80.56368,08OH
08OK,,Parks Airport,Wilburton,Oklahoma,US,34.93149,-95.2583,08OK
08OL,,Broken B Airport,Hydro,Oklahoma,US,35.40809,-98.60548,08OL
08OR,,Saxon Sycan Airport,Silver Lake,Oregon,US,42.83931,-121.11722,08OR
K08R,,Richmond Airport,West Kingston,Rhode Island,US,41.4895,-71.62064,08R
08TN,,Ptc Airport,Fayetteville,Tennessee,US,35.29891,-86.47436,08TN
08TT,,Lz Tango Charlie Airport,Fredericksburg,Texas,US,30.3088,-99.02223,08TT
08TX,,Cross Wind Airport,Weatherford,Texas,US,32.85818,-97.74753,08TX
K08U,,Stevens-Crosby Airport,North Fork,Nevada,US,41.51575,-115.85992,08U
NULL,,Springwood Airstrip,Buchanan,US-VA,US,37.55400085449219,-79.74980163574219,08VA
08XA,,Knolle Ranch Airport,Snook,Texas,US,30.47925,-96.50403,08XA
08XS,,Peterson Airport,Old Ocean,Texas,US,29.10806,-95.7775,08XS
09AK,,West Beaver Airport,Big Lake,Alaska,US,61.58936,-149.84733,09AK
09AZ,,Stronghold Airport,St David,Arizona,US,31.92533,-110.03817,09AZ
09CL,,Alta Sierra Airport,Grass Valley,California,US,39.11206,-121.05519,09CL
09CO,,Cottonwood Field,Swink,Colorado,US,38.05556,-103.65328,09CO
09FA,,Placid Lakes Airport,Lake Placid,Florida,US,27.2456,-81.41313,09FA
09FD,,Cheryl-Lane Landings Airport,Bushnell,Florida,US,28.6711,-82.08731,09FD
